               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.024067,            0.015201,           0.0029056,             0.90438,             0.86234,             0.89504,             0.58519,            0.028616,            0.011347,           0.0037085,            0.005842,            0.005842,            0.005842
                  65,            0.023902,            0.014917,           0.0025418,             0.91151,             0.87991,             0.90892,             0.59168,            0.027129,            0.010982,           0.0030964,            0.005776,            0.005776,            0.005776
                  66,            0.023488,            0.014665,           0.0024565,             0.89775,             0.88608,             0.90904,             0.58611,            0.026648,            0.011232,           0.0027377,             0.00571,             0.00571,             0.00571
                  67,            0.023861,            0.014859,           0.0021785,             0.91379,             0.86932,             0.91183,             0.60279,              0.0274,            0.011073,           0.0030302,            0.005644,            0.005644,            0.005644
                  68,            0.023031,            0.014801,           0.0020764,             0.91342,              0.8772,             0.91225,             0.60498,            0.027955,            0.011055,           0.0028435,            0.005578,            0.005578,            0.005578
                  69,            0.023991,            0.014915,           0.0022898,              0.9234,             0.86794,             0.91406,             0.59678,            0.027288,             0.01122,           0.0028772,            0.005512,            0.005512,            0.005512
                  70,            0.023497,             0.01468,           0.0020663,             0.90932,             0.87387,             0.91039,             0.59582,            0.026991,            0.011199,           0.0035355,            0.005446,            0.005446,            0.005446
                  71,             0.02336,            0.013888,           0.0021115,             0.88802,             0.86391,              0.8944,             0.57962,            0.028194,            0.011315,           0.0033154,             0.00538,             0.00538,             0.00538
                  72,            0.023307,            0.014636,           0.0023765,             0.89891,              0.8517,             0.89974,             0.58836,            0.028502,             0.01126,           0.0032936,            0.005314,            0.005314,            0.005314
                  73,            0.023263,            0.014857,           0.0022159,             0.91588,             0.87113,             0.90884,             0.59303,            0.026148,            0.010892,           0.0036022,            0.005248,            0.005248,            0.005248
                  74,            0.022534,            0.014505,           0.0017817,             0.91922,             0.87051,             0.91078,             0.58804,            0.026676,            0.011153,           0.0028888,            0.005182,            0.005182,            0.005182
                  75,            0.021917,            0.014435,           0.0021249,             0.91615,             0.85408,             0.90635,             0.59827,            0.027237,            0.011323,           0.0028913,            0.005116,            0.005116,            0.005116
                  76,            0.023246,            0.014808,           0.0022712,             0.89733,             0.86424,             0.90536,             0.58817,            0.029157,            0.011362,           0.0049729,             0.00505,             0.00505,             0.00505
                  77,            0.022938,            0.014777,           0.0019323,              0.9237,             0.86509,             0.91184,             0.58928,            0.028057,            0.011142,           0.0031417,            0.004984,            0.004984,            0.004984
                  78,            0.022568,              0.0148,           0.0021683,             0.92448,             0.87426,              0.9129,             0.60043,            0.026928,            0.011103,           0.0032075,            0.004918,            0.004918,            0.004918
                  79,            0.022365,            0.014106,           0.0020208,             0.91085,             0.87834,             0.90457,             0.58774,            0.027311,            0.011442,           0.0026632,            0.004852,            0.004852,            0.004852
                  80,            0.022594,            0.014015,           0.0021602,             0.89888,             0.85895,             0.89524,              0.5826,            0.026576,            0.011582,           0.0031659,            0.004786,            0.004786,            0.004786
                  81,            0.022708,            0.014207,            0.001916,              0.9172,             0.86388,              0.9125,             0.58787,            0.027032,            0.011292,           0.0027151,             0.00472,             0.00472,             0.00472
                  82,            0.022155,            0.013914,           0.0019594,             0.90606,             0.87073,             0.91081,             0.59645,            0.026813,            0.011208,           0.0027155,            0.004654,            0.004654,            0.004654
                  83,            0.022282,            0.013715,           0.0028112,             0.91905,             0.87379,             0.91277,             0.58564,            0.026988,            0.011198,           0.0035061,            0.004588,            0.004588,            0.004588
                  84,            0.022272,            0.013923,           0.0018814,             0.92095,             0.86542,             0.90913,             0.59491,            0.027094,            0.011425,           0.0028407,            0.004522,            0.004522,            0.004522
                  85,            0.022284,            0.014636,           0.0017742,             0.93364,             0.85487,             0.90701,             0.59861,            0.027177,              0.0113,           0.0027645,            0.004456,            0.004456,            0.004456
                  86,            0.021853,             0.01392,           0.0016166,             0.92378,             0.87645,             0.91474,              0.5936,            0.026747,            0.011355,           0.0029304,             0.00439,             0.00439,             0.00439
                  87,            0.021282,            0.013244,           0.0019681,             0.89608,             0.86241,             0.89849,             0.58709,            0.027368,            0.011329,           0.0032185,            0.004324,            0.004324,            0.004324
                  88,            0.021562,            0.014214,            0.002009,              0.9272,             0.85896,             0.90666,             0.59376,            0.027382,            0.011508,           0.0027389,            0.004258,            0.004258,            0.004258
                  89,            0.021592,            0.014261,            0.001832,             0.89789,              0.8776,             0.90887,             0.59877,            0.027325,            0.011346,           0.0025984,            0.004192,            0.004192,            0.004192
                  90,            0.021296,            0.013946,           0.0018292,             0.91544,             0.86351,             0.91147,             0.59699,            0.026749,            0.011305,           0.0025951,            0.004126,            0.004126,            0.004126
                  91,             0.02098,            0.013463,           0.0018067,             0.91582,               0.865,              0.9072,             0.60108,              0.0267,            0.011469,           0.0029292,             0.00406,             0.00406,             0.00406
                  92,            0.021362,            0.013837,           0.0015541,             0.91609,             0.87045,             0.90869,             0.59031,            0.026718,             0.01144,           0.0031351,            0.003994,            0.003994,            0.003994
                  93,            0.021033,            0.013901,           0.0015728,             0.91494,             0.84948,             0.90791,             0.59105,             0.02703,            0.011287,           0.0037925,            0.003928,            0.003928,            0.003928
                  94,            0.021322,            0.013551,           0.0019474,             0.90757,             0.86565,             0.90937,             0.59167,            0.027329,            0.011372,           0.0035346,            0.003862,            0.003862,            0.003862
                  95,            0.021206,             0.01432,           0.0014205,             0.90792,              0.8804,             0.91696,             0.59037,            0.026599,            0.011294,           0.0030348,            0.003796,            0.003796,            0.003796
                  96,            0.021223,            0.013758,           0.0017301,             0.92803,             0.86148,             0.91189,             0.59411,            0.027773,            0.011565,           0.0028986,             0.00373,             0.00373,             0.00373
                  97,            0.020696,            0.013549,           0.0015977,             0.93498,             0.85906,             0.90667,             0.59021,            0.027273,            0.011563,           0.0031505,            0.003664,            0.003664,            0.003664
                  98,            0.021196,            0.013584,              0.0016,             0.90237,             0.87493,             0.90724,             0.59868,            0.027467,            0.011455,           0.0038777,            0.003598,            0.003598,            0.003598
                  99,            0.020403,            0.013127,           0.0016891,             0.92408,             0.85507,             0.91304,             0.59795,            0.027071,            0.011343,            0.003842,            0.003532,            0.003532,            0.003532
                 100,            0.020343,            0.013076,            0.001428,             0.91158,             0.87246,             0.91426,             0.59977,            0.028084,            0.011468,           0.0033979,            0.003466,            0.003466,            0.003466
